Program,ML_course,IR_course,Stats_course,Databases_course,Gender,Chocolate,Age,Neighbors,Stand,Stress,Euros,Random_number,Bedtime,Good_day_1,Good_day_2
Beta,yes,0,mu,unknown,male,neither,26.0,0.0,no,30.0,99.0,10.0,0.0,weather,other
Beta,yes,1,mu,unknown,male,neither,27.0,1.0,no,23.0,4515169791.764706,2.1134547392206386e+35,5.0,productivity,other
Beta,no,0,mu,nee,female,fat,23.0,3.6496350364963503,no,67.0,0.0,7.0,11.0,weather,socialize
Business,yes,0,mu,ja,female,slim,24.72429906542056,1.0,no,25.0,4515169791.764706,4.0,1.0,friends,food
Beta,yes,1,mu,nee,male,fat,24.0,1.0,no,5.0,4515169791.764706,4.0,1.0,sport,productivity
Beta,no,0,unknown,nee,male,fat,26.0,0.0,no,80.0,99.0,1234.0,11.0,other,other
Beta,yes,1,mu,ja,male,fat,22.0,0.0,no,20.0,4515169791.764706,472.0,0.0,weather,other
Beta,yes,0,unknown,nee,male,fat,24.0,0.0,no,81.0,26.0,69.0,10.0,sleep,drinks
Beta,no,1,sigma,ja,male,I have no idea what you are talking about,23.0,1.0,yes,0.0,100.0,5.0,11.0,other,other
Business,yes,0,mu,nee,female,neither,28.0,1.0,no,35.0,1.0,6.0,11.0,weather,other
Beta,no,0,mu,nee,female,fat,24.72429906542056,700.0,unknown,43.0,1000000000000.0,4.0,5.0,friends,other
Business,no,0,mu,nee,female,neither,24.72429906542056,0.0,no,50.0,20.0,3.0,11.0,weather,food
Beta,yes,0,sigma,nee,female,neither,25.0,1.0,no,73.0,100.0,7.0,1.0,other,other
Beta,no,0,mu,nee,female,fat,25.0,1.0,no,30.0,20.0,3.0,10.0,weather,socialize
Beta,yes,0,mu,nee,male,neither,25.0,0.0,no,15.0,4515169791.764706,9.0,11.0,fun,food
Beta,no,0,mu,ja,male,neither,27.0,4.0,no,70.0,4515169791.764706,63.0,1.0,other,other
Beta,yes,0,mu,nee,male,fat,24.0,0.0,no,60.0,4515169791.764706,1279.0,2.0,weather,productivity
Beta,yes,0,mu,nee,female,neither,26.0,0.0,no,45.0,10.0,7.0,10.0,weather,other
Beta,yes,0,mu,ja,male,fat,23.0,0.0,no,33.0,1000.0,5.0,11.0,food,sleep
